"","KIS BV","","","","","","","","","","","",""
"","","","","","","","Bakery","","","","","",""
"","Ramgatseweg 7a","","","","","","","","","","","",""
"","","","","","","","Standard Report","","","","","",""
"","4941 VN Raamsdonksveer","","","","","","","","","","","",""
"","","","","","","","From: 01/10/01","","","","","",""
"","The Netherlands","","","","","","","","","","","",""
"","","","","","","","To: 01/10/01","","","","","",""
"","Tel: +31 (0) 162 516259","","","","","","","","","","","",""
"","","","","","","","Printed on 01/10/01 at 14:14:29","","","","","",""
"","","UNREGISTERED DEMO VERSION - UNREGISTERED DEMO VERSION","","","","","","","","","","",""
"","Fax: +31 (0) 162 516087","","","","","","","","","","","",""
"","","","","","","","Z- Report","","Z000000","","","",""
"","http://www.kisbv.com","","","","","","","","","","","",""
"Random Num","","","","Description","CC","Qty","","Gross","","Discount","Net","Taxbl Amnt","Tax Amnt"
"","","","","  TOTAL SALES","2","","","","","","","",""
"","","","","  TOTAL SALES","2","100","","Rp0","","","","Rp0",""
"","","","","","","","","","","","","",""
"","","","","DISC 10%","","5","","","","","(Rp32.500)","",""
"","","","","DISC 10%","0","5","","Rp0","","","(Rp32.500)","Rp0",""
"","","","","","","","","","","","","",""
"","","","","Cash","2","","","","","","","",""
"","","","","Cash","2","0","","Rp0","","","","Rp0",""
"","","","","","","","","","","","","",""
"","","","","Tax 10%","","","","","","","","Rp365.750",""
"","","","","Tax 10%","0","0","","Rp0","","","","",""
"","","","","","","","","","","","","",""
"00000000000003","","","","MARLBORO LIGHT","2","5","","","","(Rp3.000)","","",""
"","","","","MARLBORO LIGHT","2","5","","Rp60.000","","(Rp3.000)","","Rp0",""
"","","","","","","","","","","","","",""
"","","","UNREGISTERED DEMO VERSION - UNREGISTERED DEMO VERSION","","","","","","","","","",""
"Page 1","","","","","","","","","","","","",""
